0, 1, 2, 3, 4, 5, 6, 7, 8
-7, -88, -70, -26, -668, 742, -1215, 15, -419
-1, -100, -42, -24, -569, 821, -1213, 13, -347
10, -66, -13, -21, -468, 883, -1212, 12, -279
-37, -141, -24, -20, -235, 971, -1205, 11, -136
14, -221, 29, -18, -21, 999, -1192, 10, -12
-44, -86, 94, -14, 165, 986, -1185, 8, 95
-81, -141, 226, -10, 424, 905, -1189, 5, 251
23, -231, 148, -5, 482, 875, -1191, 3, 288
3, -156, 157, -1, 619, 785, -1193, 0, 382
4, -181, 203, 1, 664, 747, -1194, 0, 416
0, -209, 192, 3, 717, 696, -1193, -1, 458
14, -131, 237, 4, 785, 618, -1193, -2, 518
6, -121, 317, 5, 854, 518, -1192, -2, 587
-15, -69, 329, 5, 910, 412, -1191, -3, 656
14, -48, 307, 6, 938, 344, -1190, -3, 698
9, -35, 336, 8, 953, 300, -1191, -5, 725
18, -30, 296, 10, 966, 255, -1192, -6, 752
19, -40, 350, 13, 979, 201, -1193, -7, 783
19, -17, 318, 15, 986, 163, -1193, -9, 805
20, -13, 304, 17, 987, 156, -1194, -10, 809
21, -9, 296, 19, 987, 158, -1194, -11, 808
23, 2, 256, 20, 984, 173, -1194, -11, 800
21, -14, 278, 20, 986, 164, -1195, -11, 805
22, -11, 274, 20, 988, 149, -1196, -11, 813
21, -9, 278, 21, 990, 137, -1196, -12, 820
20, -20, 260, 20, 992, 123, -1198, -11, 829
-40, -26, 182, 18, 990, 132, -1196, -10, 823
52, -95, 274, 17, 991, 126, -1196, -10, 827
26, -6, 267, 16, 991, 126, -1194, -9, 827
25, -4, 256, 17, 992, 122, -1193, -9, 829
24, -6, 231, 17, 993, 108, -1194, -10, 837
23, -3, 234, 17, 994, 99, -1194, -10, 842
23, 0, 223, 19, 995, 96, -1195, -11, 844
22, -2, 202, 19, 995, 93, -1195, -11, 846
24, 1, 203, 19, 996, 86, -1196, -11, 850
20, -3, 178, 19, 996, 78, -1197, -11, 854
22, -3, 172, 19, 997, 73, -1198, -11, 858
20, 1, 157, 19, 997, 65, -1198, -11, 862
20, 0, 150, 19, 998, 53, -1199, -11, 869
22, -1, 140, 19, 998, 42, -1200, -11, 875
19, -4, 132, 19, 999, 31, -1200, -10, 881
19, 1, 117, 18, 999, 17, -1201, -10, 889
17, 3, 108, 18, 999, 9, -1202, -10, 894
18, -2, 102, 17, 999, 0, -1203, -10, 900
18, 2, 92, 17, 999, -12, -1204, -10, 906
18, 0, 84, 17, 999, -23, -1205, -9, 913
15, 0, 82, 16, 999, -29, -1205, -9, 917
16, 0, 76, 16, 999, -36, -1206, -9, 920
16, 0, 66, 16, 998, -42, -1206, -9, 924
15, 0, 66, 15, 998, -50, -1207, -9, 928
15, -2, 63, 15, 998, -56, -1208, -9, 932
14, -2, 58, 15, 997, -63, -1209, -9, 936
15, -1, 54, 15, 997, -67, -1209, -9, 938
16, -3, 48, 15, 997, -69, -1210, -9, 939
17, -2, 47, 16, 997, -72, -1211, -9, 941
14, -1, 46, 15, 996, -75, -1211, -8, 943
15, -1, 42, 15, 996, -77, -1212, -8, 944
16, -2, 34, 15, 996, -80, -1212, -8, 946
12, -5, 32, 14, 996, -84, -1213, -8, 948
14, -1, 32, 14, 996, -87, -1214, -8, 950
16, -4, 30, 14, 995, -90, -1214, -8, 952
11, -5, 25, 13, 995, -94, -1215, -7, 954
12, -6, 25, 13, 995, -96, -1215, -7, 955
12, -4, 22, 12, 994, -99, -1216, -7, 957
12, -2, 19, 13, 994, -100, -1216, -7, 957
-1, -5, 17, 13, 994, -101, -1217, -7, 958
12, -1, 15, 13, 994, -102, -1218, -7, 959
12, -5, 16, 12, 994, -103, -1218, -7, 959
12, -19, 12, 12, 994, -104, -1219, -6, 960
12, -5, 14, 11, 994, -107, -1219, -6, 961
12, -3, 14, 11, 994, -107, -1220, -6, 961
12, -3, 10, 11, 993, -110, -1220, -6, 963
11, -3, 12, 11, 993, -111, -1221, -6, 963
8, -4, 7, 11, 993, -112, -1221, -6, 964
10, -3, 6, 11, 993, -113, -1222, -6, 964
9, -4, 6, 10, 993, -114, -1222, -5, 965
9, -5, 9, 10, 993, -116, -1223, -5, 966
9, -6, 7, 9, 992, -118, -1223, -5, 968
10, -7, 10, 9, 992, -119, -1224, -5, 968
8, -5, 4, 9, 992, -119, -1224, -5, 968
9, -5, 5, 9, 992, -119, -1225, -5, 968
7, -6, 5, 9, 993, -117, -1225, -5, 967
5, -6, 8, 8, 993, -116, -1225, -5, 966
7, -6, 4, 8, 993, -116, -1226, -5, 966
7, -8, 5, 8, 993, -115, -1226, -4, 966
7, -8, 10, 8, 993, -114, -1227, -4, 965
6, -7, 0, 8, 993, -113, -1227, -4, 965
8, -5, 4, 7, 993, -113, -1227, -4, 964
8, -7, 4, 7, 993, -112, -1228, -4, 964
6, -6, 4, 7, 993, -112, -1228, -4, 964
6, -5, 7, 5, 993, -112, -1228, -3, 964
4, -2, 1, 5, 993, -113, -1228, -3, 964
4, -3, -3, 5, 993, -113, -1229, -3, 965
4, -8, 9, 5, 993, -114, -1229, -3, 965
5, -7, 5, 5, 993, -114, -1230, -3, 965
7, -5, 3, 6, 993, -113, -1230, -3, 965
5, -5, 0, 5, 993, -112, -1230, -3, 964
3, -5, 2, 4, 993, -111, -1231, -2, 964
2, -11, 6, 4, 993, -112, -1231, -2, 964
4, -8, 6, 4, 993, -111, -1231, -2, 963
3, -8, -1, 3, 994, -108, -1232, -2, 962
3, -5, -4, 3, 994, -106, -1232, -1, 961
2, -2, 2, 2, 994, -101, -1232, -1, 958
2, -7, 0, 1, 994, -101, -1233, 0, 958
2, 2, -14, 0, 995, -98, -1232, 0, 956
7, -6, 4, 0, 994, -101, -1233, 0, 958
19, 26, -26, -1, 994, -103, -1233, 0, 959
6, 4, -9, -2, 994, -106, -1233, 1, 960
3, -10, 4, -2, 993, -109, -1233, 1, 962
5, -8, 11, -2, 993, -112, -1234, 1, 964
5, 0, 12, -2, 993, -116, -1234, 1, 966
0, 7, -3, -2, 993, -118, -1235, 1, 967
3, -4, 2, -2, 993, -116, -1235, 1, 967
8, -5, 17, -2, 993, -114, -1235, 1, 965
3, -7, 7, -3, 993, -112, -1236, 1, 964
5, -18, 0, -3, 993, -111, -1236, 1, 964
7, -1, 0, -2, 993, -110, -1236, 1, 963
4, -3, 8, -2, 993, -110, -1236, 1, 963
4, -5, 2, -2, 993, -110, -1237, 1, 963
4, -5, 5, -1, 993, -109, -1237, 0, 962
4, -6, 0, 0, 994, -107, -1237, 0, 961
3, -5, 2, 0, 994, -104, -1238, 0, 960
4, -2, -1, 0, 994, -104, -1238, 0, 960
6, -6, 3, 0, 994, -105, -1238, 0, 960
6, -4, 3, 1, 994, -108, -1239, 0, 962
5, -7, 7, 1, 993, -110, -1239, 0, 963
6, -5, 4, 1, 993, -110, -1239, 0, 963
6, -9, 3, 2, 993, -112, -1240, -1, 964
4, -7, 8, 2, 993, -112, -1240, -1, 964
7, -1, 0, 3, 993, -112, -1241, -1, 964
2, -11, 7, 3, 993, -109, -1241, -2, 963
6, -5, 3, 3, 994, -104, -1241, -2, 960
8, -5, -3, 3, 994, -100, -1241, -1, 957
3, -3, -1, 2, 995, -98, -1242, -1, 956
3, -5, 4, 2, 994, -101, -1242, -1, 958
5, -3, 1, 2, 994, -104, -1242, -1, 960
4, -7, 8, 3, 994, -109, -1243, -1, 962
5, -7, 4, 3, 993, -112, -1243, -2, 964
6, -7, 8, 3, 993, -114, -1243, -2, 965
5, -10, 3, 4, 993, -115, -1244, -2, 966
3, -8, 8, 4, 993, -115, -1244, -2, 966
5, -3, 4, 4, 993, -114, -1245, -2, 965
2, -1, -12, 4, 994, -102, -1245, -2, 958
-2, 33, -15, 4, 999, -20, -1244, -2, 911
4, -8, -24, 5, 999, 15, -1244, -2, 891
7, -18, 25, 5, 991, 130, -1243, -3, 825
9, 138, -147, 7, 944, 327, -1241, -4, 709
-44, 340, -147, 6, 910, 413, -1240, -3, 655
2, -56, 55, 5, 833, 553, -1235, -3, 564
11, 46, -47, 2, 770, 637, -1231, -1, 503
34, -101, 51, -4, 632, 774, -1229, 2, 392
10, 84, -46, -6, 543, 839, -1228, 3, 329
11, -11, 5, -6, 460, 887, -1227, 3, 274
68, 52, -464, -24, 194, 980, -1253, 13, 112
0, 124, -3, -17, -30, 999, -1258, 9, -17
4, 86, 68, -23, -199, 979, -1275, 13, -115
4, 53, 15, -23, -284, 958, -1271, 13, -165
-12, -18, 34, -27, -382, 923, -1269, 16, -225
24, 304, 124, -32, -548, 835, -1270, 18, -333
-26, 66, 82, -33, -670, 741, -1272, 19, -421
1, 61, 49, -32, -752, 658, -1273, 18, -488
57, -23, 177, -31, -803, 595, -1263, 17, -534
-18, 80, 99, -29, -831, 554, -1257, 17, -563
-26, 32, 57, -29, -875, 481, -1258, 17, -611
-16, 50, 150, -29, -911, 410, -1259, 17, -657
-14, 50, 117, -29, -937, 347, -1260, 16, -696
-17, 19, 113, -29, -946, 321, -1260, 16, -712
-19, 19, 111, -28, -948, 314, -1260, 16, -716
-18, 8, 85, -28, -949, 313, -1260, 16, -717
-21, 19, 95, -28, -949, 312, -1260, 16, -718
-4, 19, 84, -29, -950, 308, -1259, 16, -720
-20, 19, 83, -28, -954, 296, -1258, 16, -727
-18, 13, 93, -28, -955, 293, -1258, 16, -729
-15, 34, 115, -29, -962, 270, -1257, 16, -743
-14, -12, 75, -30, -964, 260, -1257, 17, -748
-16, 1, 60, -30, -964, 261, -1257, 17, -748
-12, 3, 75, -30, -965, 257, -1257, 17, -750
-13, -2, 81, -30, -968, 248, -1256, 17, -756
-19, 8, 74, -30, -970, 239, -1256, 17, -761
-16, -9, 89, -30, -972, 232, -1256, 17, -765
-17, -14, 63, -30, -974, 223, -1256, 17, -770
-21, 14, 70, -30, -978, 202, -1255, 17, -782
-15, -2, 86, -31, -982, 185, -1255, 17, -792
-15, 3, 79, -29, -987, 156, -1256, 16, -809
-14, 0, 68, -29, -988, 151, -1256, 16, -812
-14, -1, 57, -27, -987, 154, -1256, 16, -811
-15, -6, 54, -27, -987, 157, -1256, 15, -809
-15, -17, 44, -25, -987, 152, -1257, 14, -812
-15, -10, 41, -24, -990, 138, -1257, 14, -820
-11, -48, 10, -23, -993, 113, -1257, 13, -834
-18, 0, 55, -23, -995, 87, -1257, 13, -849
-15, 9, 59, -19, -999, 38, -1261, 11, -877
-12, -5, 32, -19, -999, 29, -1261, 11, -883
-12, -21, 24, -19, -999, 35, -1261, 11, -879
-11, -8, 24, -19, -999, 38, -1261, 11, -878
-11, -15, 26, -19, -999, 38, -1261, 11, -877
-12, -15, 28, -19, -999, 36, -1261, 11, -878
-12, -10, 27, -18, -999, 31, -1261, 10, -882
-13, -5, 34, -17, -999, 26, -1261, 10, -884
-11, -4, 25, -16, -999, 28, -1261, 9, -883
-13, -14, 13, -15, -999, 41, -1262, 8, -876
-10, -15, 12, -15, -998, 57, -1262, 8, -866
-7, -10, 13, -14, -996, 77, -1261, 8, -855
-8, -13, 4, -14, -994, 100, -1261, 8, -842
-8, -9, 3, -14, -993, 117, -1261, 8, -832
-9, -13, -4, -14, -989, 142, -1260, 8, -818
-10, -20, -12, -14, -984, 172, -1260, 8, -800
-8, 0, -5, -14, -983, 182, -1259, 8, -794
-9, -20, -8, -14, -980, 196, -1259, 8, -786
-9, -22, -11, -13, -978, 204, -1258, 8, -782
-10, -18, -8, -14, -978, 206, -1257, 8, -780
-11, -16, -6, -14, -978, 204, -1257, 8, -781
-10, -17, -6, -14, -979, 202, -1256, 8, -783
-9, -21, -14, -14, -980, 196, -1255, 8, -786
-10, 0, 11, -14, -982, 184, -1255, 8, -793
-10, -7, 3, -14, -984, 176, -1254, 8, -798
-11, -16, -6, -13, -985, 169, -1253, 7, -802
-11, -12, -1, -13, -985, 167, -1253, 7, -803
-10, -11, 2, -13, -986, 164, -1253, 7, -805
-11, -15, -3, -13, -986, 163, -1252, 7, -805
-8, -12, -5, -13, -986, 163, -1252, 7, -805
-9, -14, -3, -12, -986, 165, -1251, 7, -804
-9, -12, -3, -12, -986, 165, -1251, 7, -804
-9, -16, -3, -12, -986, 165, -1250, 7, -804
-7, -17, -2, -13, -986, 161, -1250, 7, -806
-9, -3, 2, -14, -987, 159, -1249, 8, -808
-7, -19, -9, -15, -987, 158, -1249, 8, -808
-20, -6, -35, -17, -987, 155, -1249, 10, -810
-3, -15, -2, -19, -987, 154, -1248, 11, -811
-4, -26, -8, -21, -987, 158, -1248, 12, -808
-7, -7, 0, -23, -986, 164, -1248, 13, -805
-5, -19, -11, -24, -985, 165, -1247, 13, -804
-6, -11, 9, -25, -986, 164, -1247, 14, -805
-3, -22, -5, -26, -985, 167, -1246, 15, -803
-7, -8, -5, -26, -985, 168, -1246, 15, -803
-3, 3, 29, -27, -985, 165, -1246, 15, -804
-9, -13, -12, -27, -986, 161, -1245, 15, -806
-4, -13, -7, -26, -986, 162, -1245, 15, -806
-7, -16, -6, -26, -986, 158, -1245, 15, -808
-7, -1, -2, -25, -987, 153, -1244, 14, -811
-5, -21, -9, -25, -988, 147, -1244, 14, -815
-3, -18, -3, -24, -989, 142, -1244, 14, -818
-6, -9, 4, -24, -990, 135, -1244, 14, -821
2, 70, 43, -24, -990, 136, -1243, 13, -821
-6, 6, 2, -23, -984, 172, -1243, 13, -800
-4, 42, 43, -22, -972, 232, -1243, 13, -765
-5, -64, -68, -21, -955, 294, -1242, 12, -728
-3, -24, -22, -22, -949, 314, -1242, 12, -716
-3, -30, -26, -22, -944, 327, -1241, 12, -708
-3, -30, -29, -21, -943, 330, -1241, 12, -706
-3, -35, -34, -21, -940, 340, -1241, 12, -700
-7, -10, -25, -22, -942, 332, -1240, 12, -705
0, -8, 20, -22, -947, 319, -1240, 12, -713
-3, -28, -17, -22, -950, 310, -1240, 13, -718
-4, -37, -23, -22, -958, 284, -1239, 12, -734
-6, -12, -11, -22, -965, 257, -1239, 12, -750
-7, -13, 4, -23, -977, 207, -1239, 13, -780
-34, 6, 28, -24, -989, 141, -1239, 13, -818
-17, 0, 17, -24, -992, 122, -1238, 13, -829
-7, -14, -1, -24, -993, 114, -1238, 13, -833
-13, -16, 0, -24, -993, 109, -1237, 13, -836
4, 7, 1, -23, -994, 104, -1237, 13, -840
-2, -22, 10, -22, -994, 101, -1237, 12, -841
1, -7, -9, -23, -994, 102, -1235, 13, -840
-8, -15, -5, -23, -993, 107, -1234, 13, -838
21, -24, -24, -23, -994, 106, -1234, 13, -838
-7, 0, 15, -22, -994, 104, -1233, 12, -840
-11, -17, -4, -21, -994, 104, -1232, 12, -839
-34, -21, 18, -19, -994, 106, -1231, 11, -838
-12, -18, 14, -19, -993, 108, -1229, 10, -837
-5, -26, -22, -17, -994, 99, -1227, 10, -843
2, 9, 2, -18, -995, 90, -1226, 10, -847
4, 6, 4, -18, -996, 85, -1225, 10, -850
-5, -15, -8, -17, -996, 83, -1224, 10, -852
-4, -11, -4, -18, -996, 86, -1224, 10, -850
-11, 3, -16, -18, -995, 88, -1224, 10, -849
-3, -26, -7, -19, -996, 84, -1224, 11, -851
-4, -11, 0, -19, -996, 77, -1224, 11, -855
-6, -8, 0, -20, -997, 71, -1223, 11, -858
-3, -15, -4, -20, -997, 67, -1223, 11, -861
-5, -13, 0, -20, -997, 60, -1223, 11, -865
-6, -37, -17, -20, -997, 67, -1223, 11, -861
-4, -16, 3, -21, -997, 65, -1223, 12, -862
-9, -24, -4, -20, -997, 67, -1223, 11, -861
-8, -20, -9, -20, -997, 67, -1223, 11, -861
-4, -20, -7, -19, -997, 63, -1222, 11, -863
-8, -18, -3, -19, -998, 57, -1222, 11, -867
-2, -5, -1, -19, -998, 52, -1222, 10, -869
-7, -16, 0, -18, -998, 48, -1222, 10, -872
-14, -26, -10, -18, -999, 39, -1221, 10, -877
3, -18, -5, -19, -999, 28, -1218, 10, -883
13, -5, -15, -19, -999, 19, -1216, 11, -888
-13, 0, 9, -19, -999, 15, -1215, 11, -891
-9, -14, 0, -19, -999, 15, -1215, 11, -890
-7, -14, -7, -19, -999, 20, -1215, 10, -888
-8, -16, -3, -19, -999, 26, -1215, 11, -884
-8, -24, -15, -19, -999, 31, -1215, 10, -881
-6, -3, 5, -18, -999, 34, -1215, 10, -880
-6, -15, 3, -18, -999, 35, -1214, 10, -879
-5, -13, -7, -17, -999, 38, -1214, 10, -877
-5, -7, -10, -16, -999, 40, -1214, 9, -876
-6, -14, -2, -16, -999, 41, -1214, 9, -876
-7, 3, 0, -15, -999, 37, -1214, 9, -878
-8, -6, 2, -15, -999, 37, -1213, 8, -878
-5, -10, -3, -15, -999, 37, -1213, 8, -878
-8, -16, -9, -16, -999, 39, -1213, 9, -877
-2, 8, 8, -17, -998, 42, -1213, 9, -875
3, -17, -23, -18, -998, 43, -1213, 10, -875
-5, -14, -1, -19, -998, 42, -1213, 11, -875
-4, -22, -2, -19, -998, 42, -1212, 11, -875
-3, -23, -4, -19, -998, 44, -1212, 11, -874
-5, -12, -3, -19, -998, 46, -1212, 11, -873
-4, -17, -6, -18, -998, 50, -1212, 10, -871
-2, -17, -8, -18, -998, 57, -1211, 10, -866
-4, -15, -9, -17, -997, 63, -1211, 10, -863
-2, -9, -2, -18, -998, 59, -1211, 10, -865
-4, -9, 0, -18, -998, 57, -1210, 10, -867
-4, -17, -12, -18, -997, 60, -1210, 10, -865
-2, -10, -6, -17, -997, 63, -1210, 10, -863
-4, -16, -8, -18, -997, 65, -1210, 10, -862
-4, -11, -4, -17, -997, 68, -1209, 10, -860
-2, -49, -29, -16, -997, 74, -1209, 9, -856
-5, -1, -2, -16, -997, 72, -1209, 9, -858
-4, -14, -9, -16, -997, 65, -1208, 9, -862
-5, -7, -7, -16, -997, 63, -1208, 9, -863
-4, -9, -3, -16, -997, 63, -1208, 9, -863
-3, -14, -9, -17, -997, 62, -1208, 9, -864
-2, -15, 1, -16, -997, 62, -1207, 9, -863
-2, -13, -4, -16, -997, 64, -1207, 9, -862
-4, -16, -7, -16, -997, 66, -1207, 9, -861
-3, -16, -6, -17, -997, 66, -1207, 9, -861
-3, -11, 0, -17, -997, 66, -1206, 9, -861
-1, -15, -5, -16, -997, 68, -1206, 9, -861
-1, -16, -6, -16, -997, 67, -1206, 9, -861
-4, -9, -3, -16, -997, 68, -1206, 9, -860
-2, -14, -1, -16, -997, 68, -1206, 9, -860
-2, -14, -3, -16, -997, 69, -1205, 9, -860
-4, -14, -2, -16, -997, 69, -1205, 9, -860
-3, -10, -1, -17, -997, 69, -1205, 9, -860
-2, -13, 1, -16, -997, 69, -1205, 9, -859
-2, -14, -4, -16, -997, 69, -1204, 9, -859
-2, 1, 0, -16, -997, 69, -1204, 9, -860
-3, -12, 0, -16, -997, 69, -1204, 9, -859
9, -55, -1, -16, -997, 70, -1204, 9, -859
-2, 3, -1, -16, -998, 43, -1204, 9, -875
-5, 31, 59, -16, -999, 36, -1203, 9, -879
-3, -27, -14, -16, -996, 75, -1203, 9, -856
-2, -12, -4, -16, -991, 128, -1203, 9, -825
-1, 15, 15, -15, -985, 171, -1203, 9, -801
-7, 113, 107, -14, -947, 320, -1202, 8, -713
-4, -215, -132, -9, -820, 571, -1205, 5, -551
0, 187, 48, -9, -738, 674, -1206, 5, -475
6, -206, -103, -9, -749, 662, -1206, 5, -485
0, 68, -8, -9, -754, 656, -1206, 5, -489
2, -64, -42, -9, -733, 679, -1206, 5, -471
0, -2, -27, -9, -748, 662, -1205, 5, -484
1, -106, -60, -9, -744, 667, -1205, 5, -481
1, 0, -28, -9, -747, 664, -1205, 5, -483
5, -103, -59, -10, -748, 662, -1205, 5, -485
2, -29, -31, -11, -746, 665, -1205, 6, -482
3, -68, -48, -10, -748, 663, -1205, 5, -484
2, -57, -41, -11, -740, 672, -1205, 6, -477
0, -37, -33, -11, -737, 674, -1205, 6, -475
0, -53, -34, -12, -733, 679, -1205, 6, -472
0, -30, -26, -12, -728, 684, -1204, 7, -467
1, -42, -24, -12, -724, 689, -1204, 7, -464
-2, -24, -22, -12, -720, 693, -1204, 7, -461
1, -32, -15, -12, -718, 695, -1204, 7, -459
0, -26, -6, -12, -716, 697, -1204, 7, -458
-17, -63, 17, -10, -712, 701, -1203, 5, -454
